Chemical Name,Measure Names,Measure Values
Dried Factor VIII Fraction,Total Items,2.00
Drainable Dribbling Appliances,Total Items,52.00
Doxycycline Monohydrate,Total Items,14880.00
Doxycycline Hyclate,Total Items,2518462.00
Doxorubicin Hydrochloride,Total Items,2.00
Doxepin Hydrochloride,Total Items,4162.00
Doxepin,Total Items,39903.00
Doxazosin Mesilate,Total Items,6393884.00
Douches,Total Items,19.00
Dosulepin Hydrochloride,Total Items,1030788.00
Dorzolamide & Timolol,Total Items,643480.00
Dorzolamide,Total Items,255987.00
Dornase Alfa,Total Items,15234.00
Donepezil Hydrochloride,Total Items,1863883.00
Domperidone,Total Items,795469.00
Dolutegravir,Total Items,13.00
Docusate Sodium,Total Items,1739051.00
Dithranol,Total Items,11152.00
Disulfiram,Total Items,49163.00
Distigmine Bromide,Total Items,205.00
Disopyramide Phosphate,Total Items,6321.00
Disopyramide,Total Items,17265.00
Disodium Edetate,Total Items,10.00
Discharge Solidifying Agents,Total Items,29614.00
Dipyridamole & Aspirin,Total Items,111900.00
Dipyridamole,Total Items,661406.00
Dipivefrine Hydrochloride,Total Items,17.00
Dipipanone Hydrochloride,Total Items,9939.00
Diphtheria,Total Items,496408.00
Diphenhydramine Hydrochloride,Total Items,34523.00
Diphenhydramine HCl/Pholcodine,Total Items,1.00
Dimeticone (Parasiticidal),Total Items,42301.00
Dimeticone (Barrier),Total Items,314214.00
Dimethyl Sulfoxide,Total Items,3.00
Dimethyl Fumar,Total Items,6.00
Dimenhydrinate/Cinnarizine,Total Items,6719.00
Diltiazem Hydrochloride,Total Items,3088779.00
Diloxanide Furoate,Total Items,13.00
Dihydrotachysterol,Total Items,166.00
Dihydrocodeine Tartrate,Total Items,1762702.00
Digoxin,Total Items,3446891.00
Digitoxin,Total Items,30.00
Diflunisal,Total Items,1.00
Diflucortolone Valerate,Total Items,19663.00
Diethylstilbestrol,Total Items,20243.00
Diethylamine Salicylate,Total Items,658010.00
Dicycloverine Hydrochloride,Total Items,102080.00
Dicycloverine HCl Compound Preparations,Total Items,39482.00
Diclofenac Sodium,Total Items,2940633.00
Diclofenac Potassium,Total Items,24415.00
Dichlorobenzyl Alcohol,Total Items,2.00
Dibrompropamidine Isetionate,Total Items,870.00
Dibasic Potassium Phosphate,Total Items,1.00
Diazoxide,Total Items,2777.00
Diazepam,Total Items,5202002.00
Diamorphine Hydrochloride (Systemic),Total Items,120809.00
Diamorphine Hydrochloride,Total Items,2.00
Dextromoramide Tartrate,Total Items,42.00
Dextromethorphan Hydrobromide,Total Items,597.00
Dextromethorphan Hydrobrom Comp Prep's,Total Items,263.00
Dexpanthenol,Total Items,21662.00
Dexketoprofen,Total Items,1960.00
Dexibuprofen,Total Items,2310.00
Dexamfetamine Sulfate,Total Items,36006.00
Dexamethasone Sodium Phosphate,Total Items,1407.00
Dexamethasone Sodium Metasulphobenzoate,Total Items,355752.00
Dexamethasone Phosphate,Total Items,6744.00
Dexamethasone Isonicotinate,Total Items,2.00
Dexamethasone,Total Items,1780265.00
Dev For Adjunctive Tt Of Hypertension,Total Items,8.00
Desoximetasone,Total Items,1.00
Desogestrel,Total Items,2270912.00
Desmopressin Acetate,Total Items,282641.00
Desloratadine,Total Items,275079.00
Desferrioxamine Mesilate,Total Items,102.00
Dequalinium Chloride,Total Items,2427.00
Depigmenting Agents,Total Items,996.00
Deodorants,Total Items,160487.00
Denosumab,Total Items,29995.00
Demeclocycline Hydrochloride,Total Items,2652.00
Degarelix,Total Items,10938.00
Deflazacort,Total Items,3948.00
Deferiprone,Total Items,486.00
Deferasirox,Total Items,747.00
Dasatinib,Total Items,31.00
Darunavir,Total Items,87.00
Darifenacin Hydrobromide,Total Items,68164.00
Darbepoetin Alfa,Total Items,11937.00
Daptomycin,Total Items,174.00
Dapsone,Total Items,29780.00
Dapoxetine Hydrochloride,Total Items,4298.00
Dapagliflozin/Metformin,Total Items,7056.00
Dapagliflozin,Total Items,477950.00
Dantrolene Sodium,Total Items,46196.00
Danazol,Total Items,5743.00
Danaparoid Sodium,Total Items,18.00
Dalteparin Sodium,Total Items,152547.00
Daclatasvir,Total Items,1.00
Dabigatran Etexilate,Total Items,364573.00
Cyproterone Acetate,Total Items,44674.00
Cyproheptadine Hydrochloride,Total Items,2690.00
Cycloserine,Total Items,14.00
Cyclophosphamide,Total Items,801.00
Cyclopentolate Hydrochloride,Total Items,25225.00
Cyclopenthiazide,Total Items,70.00
Cycloidal Vibration Accessories,Total Items,458.00
Cyclizine Lactate,Total Items,68829.00
Cyclizine Hydrochloride,Total Items,825213.00
Cyanocobalamin,Total Items,607921.00
Crotamiton,Total Items,140862.00
Cortisone Acetate,Total Items,135.00
Corticosteroids,Total Items,2.00
Contraceptive Devices,Total Items,39538.00
Compound Antispasmodic Preparations,Total Items,654.00
Compound Alginates&Prop Indigestion Prep,Total Items,4299.00
Combined Mestranol,Total Items,1870.00
Combined Ethinylestradiol 35mcg,Total Items,495157.00
Combined Ethinylestradiol 30mcg,Total Items,3446574.00
Combined Ethinylestradiol 20mcg,Total Items,413615.00
Colostomy Sets,Total Items,7.00
Colostomy Bags,Total Items,369732.00
Colistin Sulfate,Total Items,31.00
Colistimethate Sodium,Total Items,42059.00
Colestyramine,Total Items,116538.00
Colestipol Hydrochloride,Total Items,9379.00
Colestilan,Total Items,12.00
Colesevelam Hydrochloride,Total Items,47365.00
Colecalciferol,Total Items,19787717.00
Colchicine,Total Items,419654.00
Codeine Phosphate,Total Items,4583609.00
Cod Liver Oil,Total Items,30367.00
Cocois,Total Items,104832.00
Cocaine Hydrochloride,Total Items,4.00
Cocaine,Total Items,108.00
Coal Tar Bath Preparations,Total Items,532.00
Coal Tar & Corticosteroid Preparations,Total Items,216.00
Coal Tar,Total Items,726834.00
Co-Zidocapt (Hydchloroth/Captopril),Total Items,8601.00
Co-Trimoxazole(Trimethoprim/Sulfamethox,Total Items,126053.00
Co-Triamterzide(Triamterene/Hydchloroth),Total Items,327.00
Co-Tenidone (Atenolol/Chlortalidone),Total Items,247150.00
Co-Simalcite (Simeticone/Hydrotalcite),Total Items,1463.00
Co-Proxamol (Dextroprop HCl/Paracet),Total Items,82298.00
Co-Phenotrope (Diphenox HCl/Atrop Sulph),Total Items,8764.00
Co-Magaldrox(Magnesium/Aluminium Hydrox),Total Items,94396.00
Co-Flumactone (Hydroflumeth/Spironol),Total Items,1545.00
Co-Fluampicil(Flucloxacillin/Ampicillin),Total Items,29326.00
Co-Dydramol (Dihydrocodeine/Paracet),Total Items,2541624.00
Co-Danthrusate (Dantron/Docusate Sod),Total Items,16539.00
Co-Danthramer (Dantron/Poloxamer 188),Total Items,25210.00
Co-Cyprindiol (Cyprote Acet/Ethinlestr),Total Items,168445.00
Co-Codaprin (Codeine Phos/Aspirin),Total Items,488.00
Co-Codamol (Codeine Phos/Paracetamol),Total Items,15612167.00
Co-Careldopa (Carbidopa/Levodopa),Total Items,1050849.00
Co-Beneldopa (Benserazide/Levodopa),Total Items,862843.00
Co-Amoxiclav (Amoxicillin/Clavul Acid),Total Items,1810048.00
Co-Amilozide (Amiloride HCl/Hydchloroth),Total Items,179520.00
Co-Amilofruse (Amiloride HCl/Frusemide),Total Items,553511.00
Clozapine,Total Items,3530.00
Clotrimazole,Total Items,2004477.00
Cloral Betaine,Total Items,8081.00
Clopidogrel,Total Items,8169250.00
Clonidine Hydrochloride,Total Items,447466.00
Clonazepam,Total Items,879407.00
Clomipramine Hydrochloride,Total Items,301531.00
Clomifene Citrate,Total Items,7645.00
Clomethiazole Edisilate,Total Items,278.00
Clomethiazole,Total Items,28138.00
Clofazimine,Total Items,28.00
Clobetasone Butyrate,Total Items,1025591.00
Clobetasol Propionate,Total Items,805870.00
Clobazam,Total Items,265836.00
Clindamycin/Tretinoin,Total Items,12546.00
Clindamycin Phosphate,Total Items,187314.00
Clindamycin Hydrochloride,Total Items,67736.00
Clemastine Fumarate,Total Items,6452.00
Clarithromycin,Total Items,2304038.00
Citalopram Hydrochloride,Total Items,76891.00
Citalopram Hydrobromide,Total Items,14336778.00
Cisatracurium,Total Items,2.00
Ciprofloxacin/Dexameth,Total Items,220.00
Ciprofloxacin,Total Items,709866.00
Ciprofibrate,Total Items,45558.00
Cinnarizine,Total Items,398442.00
Cinchocaine Hydrochloride,Total Items,32.00
Cinacalcet Hydrochloride,Total Items,38651.00
Cimetidine,Total Items,77326.00
Cilostazol,Total Items,33284.00
Cilazapril,Total Items,3132.00
Ciclosporin,Total Items,121814.00
Ciclesonide,Total Items,43165.00
Chorionic Gonadotrophin Alfa,Total Items,146.00
Chorionic Gonadotrophin,Total Items,1023.00
Choline Salicylate,Total Items,41113.00
Cholesterol,Total Items,7.00
Cholera,Total Items,7216.00
Chlortalidone,Total Items,8935.00
Chlorprothixene,Total Items,1.00
Chlorpropamide,Total Items,6.00
Chlorpromazine Hydrochloride,Total Items,339144.00
Chlorphenamine Maleate,Total Items,1432277.00
Chloroxylenol,Total Items,422.00
Chlorothiazide,Total Items,2637.00
Chloroquine Sulfate,Total Items,14.00
Chloroquine Phosphate with Proguanil HCl,Total Items,179.00
Chloroquine Phosphate,Total Items,2500.00
Chloroprocaine Hydrochloride,Total Items,2.00
Chlorhexidine Gluconate,Total Items,539666.00
Chlorhexidine Acetate,Total Items,5498.00
Chlorhex HCl,Total Items,102.00
Chlordiazepoxide Hydrochloride,Total Items,86534.00
Chloramphenicol,Total Items,1692466.00
Chlorambucil,Total Items,154.00
Chloral Hydrate,Total Items,11790.00
Chlohexidine Gluconate (Emollient),Total Items,10047.00
Chiropody Appliances,Total Items,6129.00
Chenodeoxycholic Acid,Total Items,13.00
Charcoal,Total Items,3407.00
Cetylpyridinium Chloride,Total Items,1351.00
Cetrorelix,Total Items,42.00
Cetrimide,Total Items,26213.00
Cetomacrogol,Total Items,127632.00
Cetirizine Hydrochloride,Total Items,5627527.00
Cervical Collar,Total Items,1143.00
Certolizumab Pegol,Total Items,58.00
Cellulose Wadding BP 1988,Total Items,8.00
Celiprolol Hydrochloride,Total Items,64830.00
Celecoxib,Total Items,286467.00
Cefuroxime Sodium,Total Items,158.00
Cefuroxime Axetil,Total Items,7213.00
Ceftriaxone Sodium,Total Items,2426.00
Ceftazidime Pentahydrate,Total Items,112.00
Cefradine,Total Items,49574.00
Cefoxitin Sodium,Total Items,3.00
Cefotaxime Sodium,Total Items,75.00
Cefixime,Total Items,3198.00
Cefalexin,Total Items,940935.00
Cefadroxil,Total Items,8264.00
Cefaclor,Total Items,20670.00
Catheters,Total Items,1007144.00
Catheter Valves,Total Items,96260.00
Catheter Maintenance Products,Total Items,174448.00
Castor Oil,Total Items,54.00
Caspofungin,Total Items,17.00
Carvedilol,Total Items,530348.00
Carteolol Hydrochloride,Total Items,37449.00
Carmellose Sodium,Total Items,662145.00
Carglumic Acid,Total Items,1.00
Carbomer 974P,Total Items,20196.00
Carbomer 940/980,Total Items,1908295.00
Carbomer,Total Items,3370.00
Carbocisteine,Total Items,2027515.00
Carbimazole,Total Items,489874.00
Carbamazepine,Total Items,2386568.00
Captopril,Total Items,114755.00
Capsaicin,Total Items,250478.00
Capreomycin,Total Items,1.00
Capecitabine,Total Items,9.00
Cannabis,Total Items,1910.00
Candesartan Cilexetil,Total Items,6368794.00
Canagliflozin/Metformin,Total Items,1861.00
Canagliflozin,Total Items,129677.00
Camellia Sinensis Extract,Total Items,3.00
Calcium Polystyrene Sulfonate,Total Items,2998.00
Calcium Lactate,Total Items,5208.00
Calcium Gluconate,Total Items,2245.00
Calcium Carbonate & Simeticone,Total Items,6.00
Calcium Carbonate,Total Items,468363.00
Calcium Acetate/Magnesium Carbonate,Total Items,6291.00
Calcium Acetate,Total Items,58396.00
Calcitriol,Total Items,78089.00
Calcitonin (salmon),Total Items,321.00
Calcipotriol,Total Items,953725.00
Calc Folinate,Total Items,2771.00
Calamine,Total Items,126791.00
Caffeine Citrate,Total Items,39.00
Caffeine,Total Items,26.00
Cabergoline,Total Items,65905.00
C1-Esterase Inhibitor,Total Items,143.00
Butobarbital,Total Items,1016.00
Busulfan,Total Items,29.00
Buspirone Hydrochloride,Total Items,157040.00
Buserelin,Total Items,191.00
Bupropion Hydrochloride,Total Items,21062.00
Buprenorphine Hydrochloride,Total Items,700271.00
Buprenorphine,Total Items,1983145.00
Buprenorph HCl/Naloxone HCl,Total Items,62052.00
Bupivacaine Hydrochloride,Total Items,19143.00
Bumetanide/Potassium,Total Items,2.00
Bumetanide,Total Items,1490607.00
Budesonide,Total Items,4320513.00
Brompheniramine Maleate,Total Items,14.00
Bromocriptine,Total Items,16533.00
Bromfenac,Total Items,8517.00
Bromazepam,Total Items,6.00
Brinzolamide/Brimonidine,Total Items,40655.00
Brinzolamide & Timolol,Total Items,265251.00
Brinzolamide,Total Items,917041.00
Brimonidine Tartrate,Total Items,354903.00
Brimonidine Tart (Rosacea),Total Items,9368.00
Bowel Cleansing Solutions,Total Items,5877.00
Botulinum Toxin Type A,Total Items,172.00
Bosentan,Total Items,51.00
Boric Acid,Total Items,14.00
Boceprevir,Total Items,5.00
Bleomycin,Total Items,1.00
Bisoprolol Fumarate/Aspirin,Total Items,87.00
Bisoprolol Fumarate,Total Items,19371908.00
Bismuth Subgallate,Total Items,4.00
Bisacodyl,Total Items,1247270.00
Biphasic Isophane Insulin,Total Items,648898.00
Biphasic Insulin Lispro,Total Items,360670.00
Biphasic Insulin Aspart,Total Items,960572.00
Biperiden Hydrochloride,Total Items,1.00
Bimatoprost,Total Items,1145383.00
Bilastine,Total Items,693.00
Bifonazole,Total Items,183.00
Bicalutamide,Total Items,236865.00
Bezafibrate,Total Items,531445.00
Bethanechol Chloride,Total Items,841.00
Betaxolol,Total Items,41613.00
Betamethasone Valerate,Total Items,3497640.00
Betamethasone Sodium Phosphate,Total Items,263687.00
Betamethasone Esters,Total Items,364283.00
Betamethasone,Total Items,4.00
Betaine Anhydrous,Total Items,279.00
Betahistine Hydrochloride,Total Items,1682330.00
Betacarotene,Total Items,107.00
Benzylpenicillin Sodium (Penicillin G),Total Items,1141.00
Benzyl Benzoate,Total Items,92.00
Benzydamine Hydrochloride,Total Items,735033.00
Benzoyl Peroxide & Clindamycin Phosphate,Total Items,561237.00
Benzoyl Peroxide,Total Items,104948.00
Benzoin,Total Items,292.00
Benzoic Acid,Total Items,156.00
Benzocaine,Total Items,12492.00
Benzbromarone,Total Items,328.00
Benzatropine Mesilate,Total Items,388.00
Benzalkonium Chloride,Total Items,70180.00
Benperidol,Total Items,5735.00
Bendroflumethiazide,Total Items,13422676.00
Belts,Total Items,72200.00
Beclometasone Dipropionate (Systemic),Total Items,2746.00
Beclometasone Dipropionate,Total Items,10793638.00
Bambuterol Hydrochloride,Total Items,5905.00
Balsalazide Sodium,Total Items,53608.00
Bag Covers,Total Items,10295.00
Bag Closures,Total Items,7689.00
Bacterial Decolonisation Products,Total Items,1467.00
Baclofen,Total Items,994129.00
Bacillus Calmette-Guerin (B.C.G.),Total Items,10.00
Aztreonam,Total Items,27.00
Azithromycin,Total Items,586368.00
Azilsartan Medoxomil,Total Items,525.00
Azelastine Hydrochloride,Total Items,110090.00
Azelaic Acid,Total Items,92242.00
Azathioprine,Total Items,847742.00
Axitinib,Total Items,1.00
Avanafil,Total Items,5362.00
Auranofin,Total Items,13.00
Atropine Sulfate,Total Items,52572.00
Atovaquone,Total Items,374.00
Atorvastatin,Total Items,27100139.00
Atomoxetine Hydrochloride,Total Items,101239.00
Atenolol With Calcium Channel Blocker,Total Items,26311.00
Atenolol,Total Items,9172904.00
Atazanavir,Total Items,13.00
Aspirin Combined Preparations,Total Items,783.00
Aspirin & Papaveretum,Total Items,9.00
Aspirin & Caffeine,Total Items,108.00
Aspirin,Total Items,27941305.00
Asenapine,Total Items,1532.00
Ascorbic Acid,Total Items,205107.00
Artificial Saliva,Total Items,196991.00
Artemether with Lumefantrine,Total Items,13.00
Arm Sling/Bandages,Total Items,1043995.00
Aripiprazole,Total Items,770207.00
Arachis Oil,Total Items,1991.00
Aprepitant,Total Items,325.00
Apremilast,Total Items,9.00
Apraclonidine,Total Items,38041.00
Apomorphine Hydrochloride,Total Items,12248.00
Apixaban,Total Items,661721.00
Anti-D (Rh-) Immunoglobulin,Total Items,6.00
Antazoline,Total Items,23194.00
Anastrozole,Total Items,564831.00
Analgesics with Anti-Emetics,Total Items,272110.00
Anal Plugs,Total Items,5586.00
Anal Irrigation System,Total Items,73857.00
Anakinra,Total Items,2.00
Anagrelide Hydrochloride,Total Items,1996.00
Amylmetacresol,Total Items,3745.00
Ampicillin,Total Items,2836.00
Amphotericin,Total Items,133.00
Amphoteracin,Total Items,5.00
Amoxicillin Sodium,Total Items,290.00
Amoxicillin,Total Items,9453252.00
Amoxapine,Total Items,6.00
Amorolfine Hydrochloride,Total Items,274407.00
Amobarbital Sodium,Total Items,1916.00
Amobarbital,Total Items,1.00
Ammonium Chloride/Diphenhydramine HCl,Total Items,2.00
Ammonium Bicarbonate,Total Items,994.00
Amlodipine,Total Items,25355857.00
Amitriptyline Hydrochloride,Total Items,12351568.00
Amisulpride,Total Items,390395.00
Amiodarone Hydrochloride,Total Items,584317.00
Aminosalicylic Acid,Total Items,72.00
Aminophylline Hydrate,Total Items,333264.00
Aminophylline,Total Items,574.00
Amiloride Hydrochloride With Thiazides,Total Items,21824.00
Amiloride Hydrochloride,Total Items,198724.00
Amiloride HCl With Loop Diuretics,Total Items,11958.00
Amikacin,Total Items,233.00
Ambrisentan,Total Items,8.00
Amantadine Hydrochloride,Total Items,120789.00
Alverine Citrate,Total Items,302816.00
Aluminium Sulfate,Total Items,5.00
Aluminium Oxide,Total Items,1338.00
Aluminium Hydroxide,Total Items,7928.00
Aluminium Chloride,Total Items,75505.00
Aluminium Acetate,Total Items,130.00
Aluminium & Magnesium & Oxetacaine,Total Items,2654.00
Aluminium & Magnesium & Act Simeticone,Total Items,19241.00
Alteplase,Total Items,13.00
Alprostadil,Total Items,93339.00
Alprazolam,Total Items,5.00
Alogliptin/Metformin,Total Items,10042.00
Alogliptin,Total Items,83176.00
Almotriptan,Total Items,46605.00
Allopurinol,Total Items,5094539.00
Alkyl Sulphate,Total Items,21717.00
Alkyl Sulfate,Total Items,6174.00
Alitretinoin,Total Items,335.00
Aliskiren,Total Items,32006.00
Alimemazine Tartrate,Total Items,79828.00
Alginic Acid Compound Preparations,Total Items,4770922.00
Alfuzosin Hydrochloride,Total Items,577203.00
Alfentanil Hydrochloride,Total Items,3957.00
Alfacalcidol,Total Items,794617.00
Alendronic Acid & Colecalciferol,Total Items,13691.00
Alendronic Acid,Total Items,7123882.00
Alcohol,Total Items,4470.00
Alclometasone Dipropionate,Total Items,25555.00
Albendazole,Total Items,189.00
Agomelatine,Total Items,20252.00
Adrenaline,Total Items,302301.00
Adhesive Removers (Sprays/Liquids/Wipes),Total Items,679573.00
Adhesive Dressing Remover Ster Silicone,Total Items,3492.00
Adhesive Discs/Rings/Pads/Plasters,Total Items,192789.00
Adhesive (Pastes/Sprays/Solutions),Total Items,2474.00
Adefovir Dipivoxil,Total Items,307.00
Adapalene & Benzoyl Peroxide,Total Items,159240.00
Adapalene,Total Items,151739.00
Adalimumab,Total Items,484.00
Acrivastine,Total Items,66446.00
Acne Treatment,Total Items,328.00
Aclidinium Bromide,Total Items,255898.00
Aclidinium Brom/Formoterol,Total Items,11381.00
Acitretin,Total Items,11729.00
Acipimox,Total Items,2637.00
Aciclovir Sodium,Total Items,5.00
Aciclovir,Total Items,1028919.00
Acetylcysteine,Total Items,48483.00
Acetyl-L-Carnitine,Total Items,19.00
Acetic Acid,Total Items,58440.00
Acetazolamide,Total Items,78512.00
Acenocoumarol,Total Items,35357.00
Acemetacin,Total Items,5930.00
Aceclofenac,Total Items,10184.00
Acebutolol Hydrochloride,Total Items,18381.00
Acarbose,Total Items,49028.00
Acamprosate Calcium,Total Items,133788.00
Absorbent Cottons,Total Items,5612.00
Abiraterone,Total Items,18.00
Abatacept,Total Items,33.00
Abacavir/Lamivudine/Zidovudine,Total Items,2.00
Abacavir & Lamivudine,Total Items,26.00
Abacavir,Total Items,28.00
Zuclopenthixol Hydrochloride,Total Actual Cost,575179.20
Zuclopenthixol Decanoate,Total Actual Cost,539543.30
Zuclopenthixol Acetate,Total Actual Cost,3390.06
Zopiclone,Total Actual Cost,6844653.75
Zonisamide,Total Actual Cost,7814658.83
Zolpidem Tartrate,Total Actual Cost,940274.67
Zolmitriptan,Total Actual Cost,3590031.42
Zoledronic Acid,Total Actual Cost,28762.53
Ziprasidone Hydrochloride,Total Actual Cost,4784.61
Zinc Sulfate Monohydrate,Total Actual Cost,305437.95
Zinc Sulfate,Total Actual Cost,249581.86
Zinc Paste & Ichthammol,Total Actual Cost,387.60
Zinc Paste,Total Actual Cost,242873.91
Zinc Oxide,Total Actual Cost,2130263.00
Zinc Acetate,Total Actual Cost,32603.44
Zidovudine,Total Actual Cost,411.44
Zanamivir,Total Actual Cost,1543.02
Zaleplon,Total Actual Cost,6150.99
Zafirlukast,Total Actual Cost,610974.50
Yohimbine Hydrochloride,Total Actual Cost,3385.10
Yellow Fever,Total Actual Cost,5741.28
Xylometazoline Hydrochloride,Total Actual Cost,244071.28
Xipamide,Total Actual Cost,32050.20
Wound Management & Other Dressings,Total Actual Cost,123969582.16
Wool Fat Hydrous,Total Actual Cost,53550.62
Wool Fat,Total Actual Cost,157.83
Wool Alcohols,Total Actual Cost,403357.00
Wild Cherry Bark,Total Actual Cost,0.30
Water for Injection,Total Actual Cost,773756.39
Warfarin Sodium,Total Actual Cost,21543529.01
Vortioxetine,Total Actual Cost,1139.18
Voriconazole,Total Actual Cost,1226456.97
Vitamins Caps,Total Actual Cost,353527.86
Vitamin E,Total Actual Cost,793171.78
Vitamin B Compound,Total Actual Cost,11936658.21
Vitamin B & C Injection,Total Actual Cost,11236.75
Vitamin A,Total Actual Cost,373168.57
Vildagliptin,Total Actual Cost,2406655.63
Vigabatrin,Total Actual Cost,639587.23
Verapamil Hydrochloride,Total Actual Cost,5343179.21
Venous Ulcer Compression System,Total Actual Cost,2396035.53
Venlafaxine,Total Actual Cost,46848752.69
Varicella-Zoster Immunoglobulin,Total Actual Cost,8452.58
Varicella Vaccine Live,Total Actual Cost,44729.15
Varenicline Tartrate,Total Actual Cost,16253500.84
Vardenafil,Total Actual Cost,3526070.77
Vandetanib,Total Actual Cost,4626.19
Vancomycin Hydrochloride,Total Actual Cost,943698.83
Valsartan/Amlodipine,Total Actual Cost,801390.62
Valsartan with Diuretic,Total Actual Cost,821057.29
Valsartan,Total Actual Cost,4338761.55
Valproic Acid,Total Actual Cost,6945351.85
Valganciclovir Hydrochloride,Total Actual Cost,813580.77
Valaciclovir,Total Actual Cost,596701.84
Vaginal PH Correction Products,Total Actual Cost,139703.23
Vaginal Moisturisers,Total Actual Cost,1855585.55
Vaginal Dilators,Total Actual Cost,90142.31
Vacuum Pumps for Erectile Dysfunction,Total Actual Cost,1291438.82
Ustekinumab (Psoriasis),Total Actual Cost,5959.48
Ursodeoxycholic Acid,Total Actual Cost,10390677.83
Urostomy Bags,Total Actual Cost,16488119.70
Urofollitropin,Total Actual Cost,5340.96
Urine Testing Reagents,Total Actual Cost,383904.66
Urinal Systems,Total Actual Cost,664587.18
Urea Hydrogen Peroxide,Total Actual Cost,112890.97
Urea,Total Actual Cost,6923961.95
Undecenoates,Total Actual Cost,10084.05
Umeclidinium Brom/Vilanterol,Total Actual Cost,1657717.61
Umeclidinium Brom,Total Actual Cost,1438755.76
Ulipristal Acetate (Emergency Cont),Total Actual Cost,426246.94
Ulipristal Acet,Total Actual Cost,1359302.61
Typhoid,Total Actual Cost,6573905.71
Two Piece Ostomy Systems,Total Actual Cost,25560394.33
Turpentine Oil,Total Actual Cost,873.74
Tubing And Accessories,Total Actual Cost,2296358.51
Tubing & Accessories,Total Actual Cost,144201.08
Tryptophan,Total Actual Cost,59557.76
Trusses,Total Actual Cost,101400.09
Trospium Chloride,Total Actual Cost,6088202.75
Tropicamide,Total Actual Cost,7405.84
Triptorelin Embonate,Total Actual Cost,2774950.90
Triptorelin Acetate,Total Actual Cost,9322677.12
Tripotassium Dicitratobismuthate,Total Actual Cost,28107.15
Trimipramine Maleate,Total Actual Cost,7159153.49
Trimethoprim,Total Actual Cost,17887275.01
Trimetazidine Hydrochloride,Total Actual Cost,63234.86
Trihexyphenidyl Hydrochloride,Total Actual Cost,1187458.47
Trifluridine (Antivirals),Total Actual Cost,460.47
Trifluoperazine,Total Actual Cost,2956832.78
Trientine Dihydrochloride,Total Actual Cost,867876.03
Triclosan,Total Actual Cost,18027.42
Triamterene With Thiazides,Total Actual Cost,17477.66
Triamterene With Loop Diuretics,Total Actual Cost,20173.09
Triamterene,Total Actual Cost,56728.88
Triamcinolone Hexacetonide,Total Actual Cost,4894.94
Triamcinolone Acetonide,Total Actual Cost,1270179.49
Tretinoin,Total Actual Cost,15688.61
Trazodone Hydrochloride,Total Actual Cost,24392981.90
Travoprost,Total Actual Cost,8752900.19
Trastuzumab,Total Actual Cost,377.13
Tranylcypromine Sulfate,Total Actual Cost,4913893.08
Tranexamic Acid,Total Actual Cost,3098407.20
Trandolapril + Calcium Channel Blocker,Total Actual Cost,330.57
Trandolapril,Total Actual Cost,1789860.19
Tramadol Hydrochloride,Total Actual Cost,47105162.87
Tracheostomy & Laryngectomy Appliances,Total Actual Cost,7891658.69
Toremifene Citrate,Total Actual Cost,14231.35
Torasemide,Total Actual Cost,243922.22
Topotecan,Total Actual Cost,194.35
Topiramate,Total Actual Cost,8203346.72
Tolvaptan,Total Actual Cost,260488.63
Tolterodine,Total Actual Cost,15348479.07
Tolnaftate,Total Actual Cost,621.32
Tolfenamic Acid,Total Actual Cost,128820.86
Tolcapone,Total Actual Cost,105734.54
Tolbutamide,Total Actual Cost,2240791.41
Tocopheryl Acetate,Total Actual Cost,1214582.25
Tocofersolan,Total Actual Cost,52419.42
Tocilizumab,Total Actual Cost,32168.45
Tobramycin,Total Actual Cost,2218242.02
Tizanidine Hydrochloride,Total Actual Cost,2540890.93
Tiotropium Brom/Olodaterol,Total Actual Cost,37746.72
Tiotropium,Total Actual Cost,178744606.81
Tiopronin,Total Actual Cost,19472.76
Tioguanine,Total Actual Cost,11396.78
Tioconazole,Total Actual Cost,1127827.60
Tinzaparin Sodium,Total Actual Cost,7713767.49
Tinidazole,Total Actual Cost,15605.04
Timolol With Diuretic,Total Actual Cost,7527.02
Timolol & Travoprost,Total Actual Cost,4560483.75
Timolol & Brimonidine,Total Actual Cost,1300638.92
Timolol & Bimatoprost,Total Actual Cost,13508228.36
Timolol,Total Actual Cost,2338359.62
Tigecycline,Total Actual Cost,3583.66
Ticlopidine Hydrochloride,Total Actual Cost,10916.18
Tick-Borne Encephalitis Vaccine,Total Actual Cost,2440.95
Ticagrelor,Total Actual Cost,18457634.03
Tibolone,Total Actual Cost,3798506.58
Tiaprofenic Acid,Total Actual Cost,33063.13
Tiagabine,Total Actual Cost,186356.77
Thyrotropin Alfa,Total Actual Cost,1616.52
Thymol,Total Actual Cost,0.67
Thioridazine,Total Actual Cost,41034.00
Thiamine Hydrochloride,Total Actual Cost,9778501.38
Theophylline,Total Actual Cost,1906592.09
Thalidomide (Immunomodulating),Total Actual Cost,10232.95
Thalidomide (Antileprotic),Total Actual Cost,7297.76
Tetracycline,Total Actual Cost,267546.88
Tetracosactide,Total Actual Cost,25228.88
Tetracaine Hydrochloride,Total Actual Cost,4765.65
Tetracaine,Total Actual Cost,78859.72
Tetrabenazine,Total Actual Cost,1474047.31
Tetanus Immunoglobulin,Total Actual Cost,1116.85
Testosterone Undecanoate,Total Actual Cost,8303897.59
Testosterone Propionate,Total Actual Cost,8556.89
