Skill,Country,Year,Rank
Mining and Commodities,United Kingdom,2015,24
Mobile Development,United Kingdom,2014,6
Mobile Development,United Kingdom,2015,6
Mobile Development,United Kingdom,2016,5
Network and Information Security,United Kingdom,2014,7
Network and Information Security,United Kingdom,2015,13
Network and Information Security,United Kingdom,2016,8
Perl/Python/Ruby,United Kingdom,2014,5
Perl/Python/Ruby,United Kingdom,2015,12
Perl/Python/Ruby,United Kingdom,2016,6
Public Policy and International Relations,United Kingdom,2014,13
Public Policy and International Relations,United Kingdom,2015,23
Recruiting,United Kingdom,2014,17
SAP ERP Systems,United Kingdom,2014,19
SAP ERP Systems,United Kingdom,2015,14
SEO/SEM Marketing,United Kingdom,2014,8
SEO/SEM Marketing,United Kingdom,2015,4
SEO/SEM Marketing,United Kingdom,2016,7
Shell Scripting Languages,United Kingdom,2015,20
Software QA and User Testing,United Kingdom,2015,15
Statistical Analysis and Data Mining,United Kingdom,2014,1
Statistical Analysis and Data Mining,United Kingdom,2015,1
Statistical Analysis and Data Mining,United Kingdom,2016,1
Storage Systems and Management,United Kingdom,2014,4
Storage Systems and Management,United Kingdom,2015,11
User Interface Design,United Kingdom,2014,25
User Interface Design,United Kingdom,2015,19
Web Architecture and Development Framework,United Kingdom,2014,12
Web Architecture and Development Framework,United Kingdom,2015,3
Web Architecture and Development Framework,United Kingdom,2016,4
Algorithm Design,United States,2014,11
Algorithm Design,United States,2015,8
Algorithm Design,United States,2016,9
Business Intelligence,United States,2014,21
Business Intelligence,United States,2015,23
C/C++,United States,2015,22
Cloud and Distributed Computing,United States,2014,1
Cloud and Distributed Computing,United States,2015,1
Cloud and Distributed Computing,United States,2016,1
Computer Graphics and Animation,United States,2014,13
Computer Graphics and Animation,United States,2015,25
Data Engineering and Data Warehousing,United States,2014,14
Data Engineering and Data Warehousing,United States,2015,15
Digital and Online Marketing,United States,2014,12
Economics,United States,2014,18
Economics,United States,2015,20
Electronic and Electrical Engineering,United States,2014,23
Electronic and Electrical Engineering,United States,2015,16
Foreign Language Translation,United States,2014,6
Foreign Language Translation,United States,2015,21
Game Development,United States,2014,24
Java Development,United States,2014,9
Java Development,United States,2015,9
Java Development,United States,2016,10
"Mac, Linux and Unix Systems",United States,2014,8
"Mac, Linux and Unix Systems",United States,2015,11
Marketing Campaign Management,United States,2014,19
Marketing Campaign Management,United States,2015,12
Microsoft Application Development,United States,2015,24
Middleware and Integration Software,United States,2014,3
Middleware and Integration Software,United States,2015,5
Middleware and Integration Software,United States,2016,7
Mobile Development,United States,2014,5
Mobile Development,United States,2015,3
Mobile Development,United States,2016,3
Network and Information Security,United States,2014,4
Network and Information Security,United States,2015,4
Network and Information Security,United States,2016,6
Perl/Python/Ruby,United States,2014,10
Perl/Python/Ruby,United States,2015,13
SAP ERP Systems,United States,2014,25
SAP ERP Systems,United States,2015,19
Shell Scripting Languages,United States,2014,20
Shell Scripting Languages,United States,2015,14
Software QA and User Testing,United States,2014,15
Software QA and User Testing,United States,2015,18
Statistical Analysis and Data Mining,United States,2014,2
Statistical Analysis and Data Mining,United States,2015,2
Statistical Analysis and Data Mining,United States,2016,2
Storage Systems and Management,United States,2014,7
Storage Systems and Management,United States,2015,6
Storage Systems and Management,United States,2016,4
User Interface Design,United States,2014,16
User Interface Design,United States,2015,7
User Interface Design,United States,2016,5
Virtualization,United States,2014,22
Virtualization,United States,2015,17
Web Architecture and Development Framework,United States,2014,17
Web Architecture and Development Framework,United States,2015,10
Web Architecture and Development Framework,United States,2016,8
